Agency,Associated Prime Vendor,Budget Code,Check Amount,Contract ID,Contract Purpose,Department,Document ID,Expense Category,Fiscal year,Industry,Issue Date,M/WBE Category,Payee Name,Sub Vendor,Woman Owned Business
Debt Service,N/A,1000 (GO BOND DEBT SERVICE & EXPENSE),10051,POD01520252004173,"Fitch FY17 A-4, A-5,A-6,A-7 Annual Surveillance Fee",FUNDED DEBT-W/O CONST LIMIT,20250114068-1-DSB-AD,COSTS ASSOC WITH FINANCING,2025,Not Classified,2024-08-27,Non-M/WBE,FITCH RATINGS INC,No,No 
Department of Buildings,N/A,5135 (HUMAN RESOURCES),6000,POD81020242003706,ADVERTISING FOR RECRUITMENT SERVICES,AGENCYWIDE OPERATIONS - OTPS,20250046547-1-DSB-AD,ADVERTISING,2025,Goods,2024-07-22,Non-M/WBE,INDEED INC,No,No 
Department of Citywide Administrative Services,N/A,4491 (OCP WAREHOUSING & LOGISTICS),10011,CT185620245400601,FY24 Scope of Work - CSH Scales,OFFICE OF CITYWIDE PURCHASING - OTPS,20250046730-1-DSB-AD,MAINT & REP GENERAL,2025,Not Classified,2024-07-22,Non-M/WBE,ACE MEDICAL EQUIPMENT INC,No,No 
Department of Consumer & Worker Protection,N/A,1201 (GENERAL COUNSEL),5500,POD86620252001428,CLE PASSPORT AGREEMENT,OTHER THAN PERSONAL SERVICE,20250049846-1-DSB-AD,TRAINING PRGM CITY EMPLOYEES,2025,Unknown,2024-07-23,Non-M/WBE,THE ASSOCIATION OF THE BAR CITY OF NEW YORK,No,No 
Department of Cultural Affairs,N/A,3600 (DCA CASA FUNDING),1000,PON112624CASA0134,Not defined,CULTURAL PROGRAMS,20250156051-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-10-11,Individuals and Others,SOCIETY OF THE THIRD STREET MUSIC SCHOOL SETTLEMENT INC,No,No 
Department of Cultural Affairs,N/A,2227 (CASA FUNDS FOR CIGS),1500,PON112624CASASICM,Not defined,OTHER CULTURAL INSTITUTIONS,20250156060-1-DSB-EFT,PAYMENTS TO CULTURAL INSTITUTN,2025,Unknown,2024-10-11,Individuals and Others,STATEN ISLAND CHILDRENS MUSEUM,No,No 
Department of Cultural Affairs,N/A,3603 (COALITION OF THEATERS OF COLOR),2500,PON112624CTC0010,Not defined,CULTURAL PROGRAMS,20250149311-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-10-07,Individuals and Others,Bangladesh Institute of Performing Arts Inc.,No,No 
Department of Cultural Affairs,N/A,3603 (COALITION OF THEATERS OF COLOR),3000,PON112624CTC0016,Not defined,CULTURAL PROGRAMS,20250148579-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-10-07,Individuals and Others,CALPULLI MEXICAN DANCE COMPANY INC,No,No 
Department of Cultural Affairs,N/A,3600 (DCA CASA FUNDING),10021,PON112624CASA0111,Not defined,CULTURAL PROGRAMS,20250116304-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-09-16,Individuals and Others,THE NEW YORK HISTORICAL SOCIETY,No,No 
Department of Cultural Affairs,N/A,3600 (DCA CASA FUNDING),10041,PON112624CASA0105,Not defined,CULTURAL PROGRAMS,20250116627-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-09-16,Individuals and Others,MUSEUM OF CONTEMPORARY AFRICAN DIASPORIAN ARTS,No,No 
Department of Cultural Affairs,N/A,3600 (DCA CASA FUNDING),10061,PON112624CASA0040,Not defined,CULTURAL PROGRAMS,20250117955-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-09-16,Individuals and Others,CANVAS INSTITUTE,No,No 
Department of Cultural Affairs,N/A,3700 (CULTURAL IMMIGRANT INITIATIVE),23456,PON112624IMINMUSEO,Not defined,CULTURAL PROGRAMS,20250059465-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-08-02,Individuals and Others,AMIGOS DEL MUSEO DEL BARRIO INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),6000,PON112624SUCA040,Not defined,CULTURAL PROGRAMS,20250025781-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2025,Unknown,2024-07-15,Individuals and Others,QUEENS HISTORICAL SOCIETY,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),5000,PON112624SUCASIHS,Not defined,CULTURAL PROGRAMS,20240547083-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-24,Individuals and Others,STATEN ISLAND HISTORICAL SOCIETY,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),5500,PON112624SUCA030,Not defined,CULTURAL PROGRAMS,20240547765-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-24,Individuals and Others,JACK ARTS INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),6000,PON112624SUCA046,Not defined,CULTURAL PROGRAMS,20240547624-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-24,Individuals and Others,TOGETHER IN DANCE INC A NEW JERSEY NONPROFIT CORP,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),6500,PON112624SUCA041,Not defined,CULTURAL PROGRAMS,20240547515-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-24,Individuals and Others,RENAISSANCE YOUTH CENTER,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),7000,PON112624SUCA035,Not defined,CULTURAL PROGRAMS,20240547643-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-24,Individuals and Others,LIGHT INDUSTRY CINEMA PROJECTS LTD,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA015,Not defined,CULTURAL PROGRAMS,20240527570-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,CLEMENTE SOTO VELEZ CULTURAL AND EDUCATION CENTER INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA017,Not defined,CULTURAL PROGRAMS,20240527981-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,CUMBE CENTER FOR AFRICAN AND DIASPORA DANCE INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA010,Not defined,CULTURAL PROGRAMS,20240527271-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,THE BRONX RIVER ART CENTER INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA031,Not defined,CULTURAL PROGRAMS,20240527224-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,JAZZMOBILE INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA024,Not defined,CULTURAL PROGRAMS,20240527242-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,FIJI THEATER COMPANY INC,No,No 
Department of Cultural Affairs,N/A,3601 (DCA SU-CASA),12000,PON112624SUCA025,Not defined,CULTURAL PROGRAMS,20240527223-1-DSB-EFT,PAY TO CULTURAL INSTITUTIONS,2024,Unknown,2024-06-10,Individuals and Others,"FUND FOR THE CITY OF NEW YORK, INC.",No,No 
Department of Design and Construction,XBR Inc.,NA (Unknown),234,CT185020161412873,Sitework/Temp Fence,N/A,N/A,N/A,2017,Construction Services,2016-08-04,Women (Non-Minority),Antonio Natale Landscaping Inc,Yes,Yes
Department of Design and Construction,SNOHETTA ARCHITECTURE DESIGN PLANNING PC,NA (Unknown),5500,CTA185020248802084,Engineering servces,N/A,N/A,N/A,2025,Arch and Engineering,2024-08-15,Non-M/WBE,JAROS BAUM & BOLLES CONSULTING ENGINEERS LLP,Yes,No 
Department of Design and Construction,CDE AIR CONDITIONING CO INC,NA (Unknown),12000,CT185020238806191,CONTROL WORK,N/A,N/A,N/A,2024,Construction Services,2024-06-11,Non-M/WBE,THOMAS S BROWN ASSOCIATES INC,Yes,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),2000,DO104020244235566,Not defined,CATEGORICAL PROGRAMS - OTPS,20250153929-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-10-09,Non-M/WBE,ELEVATE EDUCATION INC,No,No 
Department of Education,N/A,2129 (NON-PUBLIC SCHOOL PAYMENTS),4000,DO104020254055835,Not defined,NPS & FIT PMTS - OTPS,20250182981-1-DSB-AD,DATA PROCESSING SUPPLIES,2025,Unknown,2024-10-03,Non-M/WBE,SAVVAS LEARNING COMPANY LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),4500,DO104020254034107,Not defined,CATEGORICAL PROGRAMS - OTPS,20250145072-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Unknown,2024-10-02,Non-M/WBE,APPLE INC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),5000,POC04020253010000,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250141844-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Not Classified,2024-09-30,Non-M/WBE,SOCIAL EMOTIONAL WELLNESS ALLIANCE LLC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),5500,POC04020243108492,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250126895-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Not Classified,2024-09-23,Non-M/WBE,SCHOOL DATA CORP,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),6000,POC04020253006670,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250157648-1-DSB-AD,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-09-23,Non-M/WBE,MOVE2LEARN LLC,No,No 
Department of Education,N/A,8489 (GE REIMBURSABLE SUPPORT),12345,DO104020244310918,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250125585-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-09-23,Individuals and Others,BEAM CENTER INC,No,No 
Department of Education,N/A,1229 (DIRECT FIELD OPERATIONS),1334,POC04020253003170,Not defined,SCHOOL FOOD SERVICES - OTPS,20250124829-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Not Classified,2024-09-23,Women (Non-Minority),FINESSE CREATIONS INC,No,Yes
Department of Education,N/A,A481 (ARPA FOR SCHOOLS),23456,POC04020243062394,Not defined,CATEGORICAL PROGRAMS - OTPS,20250157403-1-DSB-AD,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-09-23,Black American,TBDG LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),8500,DO104020254034781,Not defined,CATEGORICAL PROGRAMS - OTPS,20250120618-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Unknown,2024-09-17,Non-M/WBE,JUPITER ED INC.,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),9000,POC04020243013684,Not defined,CATEGORICAL PROGRAMS - OTPS,20250119243-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-09-16,Non-M/WBE,EDUARD GROS LLC,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),10011,DO104020254029420,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250118174-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Unknown,2024-09-16,Non-M/WBE,HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),10051,POC04020253007069,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250119220-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Not Classified,2024-09-16,Non-M/WBE,SOCIAL EMOTIONAL WELLNESS ALLIANCE LLC,No,No 
Department of Education,N/A,8489 (GE REIMBURSABLE SUPPORT),5500,POC04020253004563,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250144122-1-DSB-AD,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-09-11,Non-M/WBE,THE LIVING LITERACY NETWORK LLC,No,No 
Department of Education,N/A,4620 (BEFORE/AFTER SCH TIME & EXTEND USE - HS),6000,POC04020253008155,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250144120-1-DSB-AD,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-09-11,Non-M/WBE,CAMP WAYNE FOR BOYS INC,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),7000,POC04020243090051,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250109295-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Not Classified,2024-09-09,Non-M/WBE,EMPOWERHOUSE LEADERHIP CONSULTANCY,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243061667,Not defined,CATEGORICAL PROGRAMS - OTPS,20250103326-1-DSB-EFT,PRINTING CONTRACTS,2025,Not Classified,2024-09-03,Non-M/WBE,JOSTENS INCORPORATED,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),12345,POC04020243118999,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250125343-1-DSB-AD,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-09-03,Non-M/WBE,CHOICES ACADEMY,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),1334,POC04020243105109,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250100734-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-30,Non-M/WBE,AGIRI LEARNING CONSULTANTS INC,No,No 
Department of Education,N/A,1443 (ELEMENTARY / MIDDLE),10041,CT104020089850135,LEASE PREMISES BLOCK 2924  LOT 20,ENERGY AND LEASES - OTPS,20250096334-1-DSB-EFT,RENTALS - LAND BLDGS & STRUCTS,2025,Not Classified,2024-08-27,Individuals and Others,ARP LLC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),10061,DO104020254005422,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250095224-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-26,Non-M/WBE,EDWARDS ORTON-GILLINGHAM INC,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),4000,POC04020243091864,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250105573-1-DSB-AD,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-23,Non-M/WBE,"ALL IN 1 ENTERTAINMENT, INC.",No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),5000,DO104020254017609,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250084988-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Unknown,2024-08-21,Non-M/WBE,JUPITER ED INC.,No,No 
Department of Education,N/A,L481 (ARPA FOR LEARNING LOSS),6000,POC04020243085671,Not defined,CATEGORICAL PROGRAMS - OTPS,20250080724-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-19,Hispanic American,ARTELATAM LLC,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),6500,POC04020243100656,Not defined,CATEGORICAL PROGRAMS - OTPS,20250080666-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-19,Non-M/WBE,HUMBLE DEVELOPMENT,No,No 
Department of Education,N/A,8888 (REIMBUR SUP-CENTL SCH SUP PROG & SERV),7000,POC04020243095793,Not defined,CATEGORICAL PROGRAMS - OTPS,20250081576-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-08-19,Non-M/WBE,MBJ DOWNTOWN,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),10011,DO104020244344188,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250081124-1-DSB-EFT,SUPPLIES + MATERIALS - GENERAL,2025,Unknown,2024-08-19,Individuals and Others,COLLEGE BOARD,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),10021,DO104020244297845,Not defined,CATEGORICAL PROGRAMS - OTPS,20250080273-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-08-19,Black American,"KEYS TO ABUNDANT LIFE, INC.",No,Yes
Department of Education,N/A,8816 (REGIONAL & CITYWIDE INST & OPS ADMIN),10061,DO104020244133305,Not defined,CATEGORICAL PROGRAMS - OTPS,20250077072-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-14,Non-M/WBE,LEXIA VOYAGER SOPRIS INC,No,No 
Department of Education,N/A,8816 (REGIONAL & CITYWIDE INST & OPS ADMIN),12000,DO104020244133305,Not defined,CATEGORICAL PROGRAMS - OTPS,20250077072-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-14,Non-M/WBE,LEXIA VOYAGER SOPRIS INC,No,No 
Department of Education,N/A,8816 (REGIONAL & CITYWIDE INST & OPS ADMIN),12345,DO104020244133305,Not defined,CATEGORICAL PROGRAMS - OTPS,20250077072-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-14,Non-M/WBE,LEXIA VOYAGER SOPRIS INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),1334,DO104020244096393,Not defined,CATEGORICAL PROGRAMS - OTPS,20250077293-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Unknown,2024-08-14,Non-M/WBE,DISTRICT PUBLIC LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),23456,DO104020244043606,Not defined,CATEGORICAL PROGRAMS - OTPS,20250074567-1-DSB-EFT,DATA PROCESSING SUPPLIES,2025,Unknown,2024-08-13,Non-M/WBE,DISTRICT PUBLIC LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),234,POC04020243012788,Not defined,CATEGORICAL PROGRAMS - OTPS,20250074534-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-08-13,Individuals and Others,NEW YORK SUN WORKS INC.,No,No 
Department of Education,N/A,5101 (CLASSRM INST & SCH SUPERVISION - CWSPED),12000,CT104020243073389,3 BIDS-SERVICES,CW SE INSTR & SCHL LEADERSHIP - OTPS,20250084325-1-DSB-AD,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-08-13,Non-M/WBE,PRESTIGIOUS MAINTENANCE INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),3500,POC04020243104194,Not defined,CATEGORICAL PROGRAMS - OTPS,20250072878-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Not Classified,2024-08-12,Non-M/WBE,SCHOOL DATA CORP,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),4500,POC04020243070764,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250071569-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-12,Non-M/WBE,TOP ELITE LLC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),5000,POC04020243080356,Not defined,CATEGORICAL PROGRAMS - OTPS,20250071565-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-12,Asian American,MY ROBIN INC,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),5500,POC04020243024514,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250080285-1-DSB-AD,DATA PROCESSING SUPPLIES,2025,Not Classified,2024-08-12,Non-M/WBE,REDIKER SOFTWARE INC,No,No 
Department of Education,N/A,1731 (PROGRAM MANAGMENT & CONTRACT MAINTENANCE),6000,DO104020257346183,Not defined,SCHOOL FACILITIES - OTPS,20250078330-1-DSB-AD,MAINT & OPER OF INFRASTRUCTURE,2025,Unknown,2024-08-09,Asian American,Harry Construction Group Corp.,No,No 
Department of Education,N/A,4301 (GE INST & SCHOOL SUPERVISION ELE/MIDDLE),10011,POC04020243078535,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250065914-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-07,Black American,"PROJECT PAWN, LLC",No,No 
Department of Education,N/A,8870 (REIMBURSEABLE SUPPORT - NPS),10021,DO104020244239130,Not defined,CATEGORICAL PROGRAMS - OTPS,20250066519-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-07,Non-M/WBE,HIGHERSCHOOL PUBLISHING COMPANY,No,No 
Department of Education,N/A,4305 (INSTRUCTIONAL SUPPORT SERV - ELEM / MID),10031,CT104020243003792,NEGOTIATED SERVICES-SERVICES,GE INSTR & SCH LEADERSHIP - OTPS,20250064472-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-08-06,Non-M/WBE,SHANE PURSE ASSOCIATES INC,No,No 
Department of Education,N/A,4615 (NYSTL - HIGH SCHOOL),10051,DO104020254008029,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250062271-1-DSB-EFT,BOOKS-OTHER,2025,Unknown,2024-08-05,Non-M/WBE,PERFECTION LEARNING CORPORATION,No,No 
Department of Education,N/A,8870 (REIMBURSEABLE SUPPORT - NPS),12000,DO104020244102228,Not defined,CATEGORICAL PROGRAMS - OTPS,20250062885-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-08-05,Non-M/WBE,HIGHERSCHOOL PUBLISHING COMPANY,No,No 
Department of Education,N/A,4601 (GE INSTRUCTION & SCHOOL SUPERVISION - HS),1334,DO104020244299758,Not defined,GE INSTR & SCH LEADERSHIP - OTPS,20250059470-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Unknown,2024-08-02,Individuals and Others,"BRONX ARTS ENSEMBLE, INC.",No,No 
Department of Education,N/A,L481 (ARPA FOR LEARNING LOSS),234,POC04020243033064,Not defined,CATEGORICAL PROGRAMS - OTPS,20250069889-1-DSB-AD,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-01,Hispanic American,Absalom Inc,No,Yes
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243090017,Not defined,CATEGORICAL PROGRAMS - OTPS,20250058423-1-DSB-EFT,PROF SERV DIRECT EDUC SERV,2025,Not Classified,2024-08-01,Individuals and Others,NEW YORK POPS INC,No,No 
Department of Education,N/A,8843 (REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS),12000,POC04020243083546,Not defined,CATEGORICAL PROGRAMS - OTPS,20250053334-1-DSB-EFT,OTHR SERV AND CHRGS-GENERAL,2025,Not Classified,2024-07-29,Non-M/WBE,FEEL THE BEAT PRODUCTIONS DJ ENTERTAINMENT GROUP LLC,No,No 
Department of Education,N/A,8816 (REGIONAL & CITYWIDE INST & OPS ADMIN),3500,DO104020244146763,Not defined,CATEGORICAL PROGRAMS - OTPS,20250052759-1-DSB-EFT,PROF SERV CURRIC & PROF DEVEL,2025,Unknown,2024-07-29,Non-M/WBE,LEXIA VOYAGER SOPRIS INC,No,No 
